Song,Artist,Country,Year,Language,Grand Final Place,Grand Final Points,Semifinal,Semifinal Place,Semifinal Points
Bien plus fort,Téréza,Monaco,1966,French,17,0,No Semifinal,N/A,N/A
"Dio, come ti amo",Domenico Modugno,Italy,1966,Italian,17,0,No Semifinal,N/A,N/A
Puppet on a String,Sandie Shaw,United Kingdom,1967,English,1,47,No Semifinal,N/A,N/A
If I Could Choose,Sean Dunphy,Ireland,1967,English,2,22,No Semifinal,N/A,N/A
Il doit faire beau là-bas,Noëlle Cordier,France,1967,French,3,20,No Semifinal,N/A,N/A
L'amour est bleu,Vicky Leandros,Luxembourg,1967,French,4,17,No Semifinal,N/A,N/A
Boum-Badaboum,Minouche Barelli,Monaco,1967,French,5,10,No Semifinal,N/A,N/A
Hablemos del amor,Raphael,Spain,1967,Spanish,6,9,No Semifinal,N/A,N/A
Ik heb zorgen,Louis Neefs,Belgium,1967,Dutch,7,8,No Semifinal,N/A,N/A
Anouschka,Inge Brück,Germany,1967,German,8,7,No Semifinal,N/A,N/A
Som en dröm,Östen Warnerbring,Sweden,1967,Swedish,8,7,No Semifinal,N/A,N/A
Vse rože sveta,Lado Leskovar,Yugoslavia,1967,Slovene,8,7,No Semifinal,N/A,N/A
Non andare più lontano,Claudio Villa,Italy,1967,Italian,11,4,No Semifinal,N/A,N/A
O vento mudou,Eduardo Nascimento,Portugal,1967,Portuguese,12,3,No Semifinal,N/A,N/A
Varjoon – suojaan,Fredi,Finland,1967,Finnish,12,3,No Semifinal,N/A,N/A
Dukkemann,Kirsti Sparboe,Norway,1967,Norwegian,14,2,No Semifinal,N/A,N/A
Ring-dinge-ding,Thérèse Steinmetz,Netherlands,1967,Dutch,14,2,No Semifinal,N/A,N/A
Warum es hunderttausend Sterne gibt,Peter Horton,Austria,1967,German,14,2,No Semifinal,N/A,N/A
Quel cœur vas-tu briser?,Géraldine,Switzerland,1967,French,17,0,No Semifinal,N/A,N/A
"La, la, la",Massiel,Spain,1968,Spanish,1,29,No Semifinal,N/A,N/A
Congratulations,Cliff Richard,United Kingdom,1968,English,2,28,No Semifinal,N/A,N/A
La source,Isabelle Aubret,France,1968,French,3,20,No Semifinal,N/A,N/A
Chance of a Lifetime,Pat McGuigan,Ireland,1968,English,4,18,No Semifinal,N/A,N/A
"Det börjar verka kärlek, banne mej",Claes-Göran Hederström,Sweden,1968,Swedish,5,15,No Semifinal,N/A,N/A
Ein Hoch der Liebe,Wenche Myhre,Germany,1968,German,6,11,No Semifinal,N/A,N/A
À chacun sa chanson,Line & Willy,Monaco,1968,French,7,8,No Semifinal,N/A,N/A
Jedan dan,Dubrovački trubaduri,Yugoslavia,1968,Serbo-Croatian,7,8,No Semifinal,N/A,N/A
Quand tu reviendras,Claude Lombard,Belgium,1968,French,7,8,No Semifinal,N/A,N/A
Marianne,Sergio Endrigo,Italy,1968,Italian,10,7,No Semifinal,N/A,N/A
Nous vivrons d'amour,Chris Baldo & Sophie Garel,Luxembourg,1968,French,11,5,No Semifinal,N/A,N/A
Verão,Carlos Mendes,Portugal,1968,Portuguese,11,5,No Semifinal,N/A,N/A
Guardando il sole,Gianni Mascolo,Switzerland,1968,Italian,13,2,No Semifinal,N/A,N/A
Stress,Odd Børre,Norway,1968,Norwegian,13,2,No Semifinal,N/A,N/A
Tausend Fenster,Karel Gott,Austria,1968,German,13,2,No Semifinal,N/A,N/A
Kun kello käy,Kristina Hautala,Finland,1968,Finnish,16,1,No Semifinal,N/A,N/A
Morgen,Ronnie Tober,Netherlands,1968,Dutch,16,1,No Semifinal,N/A,N/A
Boom Bang-a-Bang,Lulu,United Kingdom,1969,English,1,18,No Semifinal,N/A,N/A
De troubadour,Lenny Kuhr,Netherlands,1969,Dutch,1,18,No Semifinal,N/A,N/A
"Un jour, un enfant",Frida Boccara,France,1969,French,1,18,No Semifinal,N/A,N/A
Vivo cantando,Salomé,Spain,1969,Spanish,1,18,No Semifinal,N/A,N/A
"Bonjour, Bonjour",Paola Del Medico,Switzerland,1969,German,5,13,No Semifinal,N/A,N/A
"Maman, Maman",Jean Jacques,Monaco,1969,French,6,11,No Semifinal,N/A,N/A
Jennifer Jennings,Louis Neefs,Belgium,1969,Dutch,7,10,No Semifinal,N/A,N/A
The Wages of Love,Muriel Day & The Lindsays,Ireland,1969,English,7,10,No Semifinal,N/A,N/A
"Judy, min vän",Tommy Körberg,Sweden,1969,Swedish,9,8,No Semifinal,N/A,N/A
Primaballerina,Siw Malmkvist,Germany,1969,German,9,8,No Semifinal,N/A,N/A
Catherine,Romuald,Luxembourg,1969,French,11,7,No Semifinal,N/A,N/A
Kuin silloin ennen,Jarkko & Laura,Finland,1969,Finnish,12,6,No Semifinal,N/A,N/A
Due grosse lacrime bianche,Iva Zanicchi,Italy,1969,Italian,13,5,No Semifinal,N/A,N/A
Pozdrav svijetu,Ivan & 4M,Yugoslavia,1969,Serbo-Croatian,13,5,No Semifinal,N/A,N/A
Desfolhada portuguesa,Simone de Oliveira,Portugal,1969,Portuguese,15,4,No Semifinal,N/A,N/A
"Oj, oj, oj, så glad jeg skal bli",Kirsti Sparboe,Norway,1969,Norwegian,16,1,No Semifinal,N/A,N/A
All Kinds of Everything,Dana,Ireland,1970,English,1,32,No Semifinal,N/A,N/A
"Knock, Knock Who's There?",Mary Hopkin,United Kingdom,1970,English,2,26,No Semifinal,N/A,N/A
Wunder gibt es immer wieder,Katja Ebstein,Germany,1970,German,3,12,No Semifinal,N/A,N/A
Gwendolyne,Julio Iglesias,Spain,1970,Spanish,4,8,No Semifinal,N/A,N/A
Marie-Blanche,Guy Bonnet,France,1970,French,4,8,No Semifinal,N/A,N/A
Retour,Henri Dès,Switzerland,1970,French,4,8,No Semifinal,N/A,N/A
Waterman,Hearts of Soul,Netherlands,1970,Dutch,7,7,No Semifinal,N/A,N/A
Marlène,Dominique Dussault,Monaco,1970,French,8,5,No Semifinal,N/A,N/A
Occhi di ragazza,Gianni Morandi,Italy,1970,Italian,8,5,No Semifinal,N/A,N/A
Viens l'oublier,Jean Vallée,Belgium,1970,French,8,5,No Semifinal,N/A,N/A
"Pridi, dala ti bom cvet",Eva Sršen,Yugoslavia,1970,Slovene,11,4,No Semifinal,N/A,N/A
Je suis tombé du ciel,David Alexandre Winter,Luxembourg,1970,French,12,0,No Semifinal,N/A,N/A
"Un banc, un arbre, une rue",Séverine,Monaco,1971,French,1,128,No Semifinal,N/A,N/A
En un mundo nuevo,Karina,Spain,1971,Spanish,2,116,No Semifinal,N/A,N/A
Diese Welt,Katja Ebstein,Germany,1971,German,3,100,No Semifinal,N/A,N/A
Jack In The Box,Clodagh Rodgers,United Kingdom,1971,English,4,98,No Semifinal,N/A,N/A
L'amore è un attimo,Massimo Ranieri,Italy,1971,Italian,5,91,No Semifinal,N/A,N/A
Tijd,Saskia & Serge,Netherlands,1971,Dutch,6,85,No Semifinal,N/A,N/A
Vita vidder,Family Four,Sweden,1971,Swedish,6,85,No Semifinal,N/A,N/A
Tie uuteen päivään,Markku Aro & Koivistolaiset,Finland,1971,Finnish,8,84,No Semifinal,N/A,N/A
Menina do alto da serra,Tonicha,Portugal,1971,Portuguese,9,83,No Semifinal,N/A,N/A
Un jardin sur la terre,Serge Lama,France,1971,French,10,82,No Semifinal,N/A,N/A
One Day Love,Angela Farrell,Ireland,1971,English,11,79,No Semifinal,N/A,N/A
Les illusions de nos vingt ans,"Peter, Sue and Marc",Switzerland,1971,French,12,78,No Semifinal,N/A,N/A
"Pomme, pomme, pomme",Monique Melsen,Luxembourg,1971,French,13,70,No Semifinal,N/A,N/A
"Goeiemorgen, morgen",Lily Castel & Jacques Raymond,Belgium,1971,Dutch,14,68,No Semifinal,N/A,N/A
Tvoj dječak je tužan,Krunoslav Slabinac,Yugoslavia,1971,Serbo-Croatian,14,68,No Semifinal,N/A,N/A
Musik,Marianne Mendt,Austria,1971,Viennese,16,66,No Semifinal,N/A,N/A
Lykken er,Hanne Krogh,Norway,1971,Norwegian,17,65,No Semifinal,N/A,N/A
Marija l-Maltija,Joe Grech,Malta,1971,Maltese,18,52,No Semifinal,N/A,N/A
Après toi,Vicky Leandros,Luxembourg,1972,French,1,128,No Semifinal,N/A,N/A
"Beg, Steal or Borrow",The New Seekers,United Kingdom,1972,English,2,114,No Semifinal,N/A,N/A
Nur die Liebe läßt uns leben,Mary Roos,Germany,1972,German,3,107,No Semifinal,N/A,N/A
Als het om de liefde gaat,Sandra & Andres,Netherlands,1972,Dutch,4,106,No Semifinal,N/A,N/A
Falter im Wind,Milestones,Austria,1972,German,5,100,No Semifinal,N/A,N/A
I giorni dell'arcobaleno,Nicola di Bari,Italy,1972,Italian,6,92,No Semifinal,N/A,N/A
A festa da vida,Carlos Mendes,Portugal,1972,Portuguese,7,90,No Semifinal,N/A,N/A
C'est la chanson de mon amour,Véronique Müller,Switzerland,1972,French,8,88,No Semifinal,N/A,N/A
Muzika i ti,Tereza Kesovija,Yugoslavia,1972,Serbo-Croatian,9,87,No Semifinal,N/A,N/A
Amanece,Jaime Morey,Spain,1972,Spanish,10,83,No Semifinal,N/A,N/A
Comé-comédie,Betty Mars,France,1972,French,11,81,No Semifinal,N/A,N/A
Muistathan,Päivi Paunu & Kim Floor,Finland,1972,Finnish,12,78,No Semifinal,N/A,N/A
Härliga sommardag,Family Four,Sweden,1972,Swedish,13,75,No Semifinal,N/A,N/A
Småting,Grethe Kausland & Benny Borg,Norway,1972,Norwegian,14,73,No Semifinal,N/A,N/A
Ceol an Ghrá,Sandie Jones,Ireland,1972,Irish,15,72,No Semifinal,N/A,N/A
Comme on s'aime,Anne-Marie Godart & Peter MacLane,Monaco,1972,French,16,65,No Semifinal,N/A,N/A
À la folie ou pas du tout,Serge & Christine Ghisoland,Belgium,1972,French,17,55,No Semifinal,N/A,N/A
L-imħabba,Helen and Joseph,Malta,1972,Maltese,18,48,No Semifinal,N/A,N/A
Tu te reconnaîtras,Anne-Marie David,Luxembourg,1973,French,1,129,No Semifinal,N/A,N/A
Eres tú,Mocedades,Spain,1973,Spanish,2,125,No Semifinal,N/A,N/A
Power to All Our Friends,Cliff Richard,United Kingdom,1973,English,3,123,No Semifinal,N/A,N/A
Ey Sham (אי שם),Ilanit,Israel,1973,Hebrew,4,97,No Semifinal,N/A,N/A
You're Summer,The Novas & The Dolls,Sweden,1973,English,5,94,No Semifinal,N/A,N/A
Tom Tom Tom,Marion Rung,Finland,1973,English,6,93,No Semifinal,N/A,N/A
It's Just A Game,Bendik Singers,Norway,1973,"English, French",7,89,No Semifinal,N/A,N/A
Junger Tag,Gitte,Germany,1973,German,8,85,No Semifinal,N/A,N/A
Un train qui part,Marie,Monaco,1973,French,8,85,No Semifinal,N/A,N/A
Do I Dream,Maxi,Ireland,1973,English,10,80,No Semifinal,N/A,N/A
Tourada,Fernando Tordo,Portugal,1973,Portuguese,10,80,No Semifinal,N/A,N/A
"Je vais me marier, Marie",Patrick Juvet,Switzerland,1973,French,12,79,No Semifinal,N/A,N/A
Chi sarà con te,Massimo Ranieri,Italy,1973,Italian,13,74,No Semifinal,N/A,N/A
De oude muzikant,Ben Cramer,Netherlands,1973,Dutch,14,69,No Semifinal,N/A,N/A
Gori vatra,Zdravko Čolić,Yugoslavia,1973,Serbo-Croatian,15,65,No Semifinal,N/A,N/A
Sans toi,Martine Clémenceau,France,1973,French,15,65,No Semifinal,N/A,N/A
"Baby, Baby",Nicole & Hugo,Belgium,1973,Dutch,17,58,No Semifinal,N/A,N/A
Waterloo,ABBA,Sweden,1974,English,1,24,No Semifinal,N/A,N/A
Sì,Gigliola Cinquetti,Italy,1974,Italian,2,18,No Semifinal,N/A,N/A
I See a Star,Mouth & MacNeal,Netherlands,1974,English,3,15,No Semifinal,N/A,N/A
Bye Bye I Love You,Ireen Sheer,Luxembourg,1974,French,4,14,No Semifinal,N/A,N/A
Celui qui reste et celui qui s'en va,Romuald,Monaco,1974,French,4,14,No Semifinal,N/A,N/A
Long Live Love,Olivia Newton-John,United Kingdom,1974,English,4,14,No Semifinal,N/A,N/A
Cross Your Heart,Tina Reynolds,Ireland,1974,English,7,11,No Semifinal,N/A,N/A
Natati La Khayay (נתתי לה חיי),Kaveret,Israel,1974,Hebrew,7,11,No Semifinal,N/A,N/A
